Signal Length,Bits Per Pixel,Quantization Step Size,Sparse Representation Size,Wavelet Coefficients Size,Number of Non-Zero Coefficients
16,0.047619,2552.273926,"1x42 float","1x42 float",2
48,0.049383,2853.577393,"1x81 float","1x81 float",4
80,0.050000,3419.297363,"1x120 float","1x120 float",6
112,0.046358,2340.208496,"1x151 float","1x151 float",7
144,0.047120,3097.287109,"1x191 float","1x191 float",9
176,0.072072,3609.959961,"1x222 float","1x222 float",8
208,0.031496,3642.723633,"1x254 float","1x254 float",8
240,0.049123,4012.030518,"1x285 float","1x285 float",7
272,0.049080,3648.070801,"1x326 float","1x326 float",8
304,0.050420,8245.544922,"1x357 float","1x357 float",9
336,0.046272,2437.994385,"1x389 float","1x389 float",9
368,0.052381,4517.753906,"1x420 float","1x420 float",11
400,0.048565,3328.212402,"1x453 float","1x453 float",11
432,0.049587,3467.968994,"1x484 float","1x484 float",12
464,0.046512,3109.493652,"1x516 float","1x516 float",12
496,0.051188,3529.704102,"1x547 float","1x547 float",14
528,0.045840,3690.740723,"1x589 float","1x589 float",9
560,0.048387,4439.363281,"1x620 float","1x620 float",10
592,0.050613,4431.323730,"1x652 float","1x652 float",11
624,0.048316,4186.448242,"1x683 float","1x683 float",11
656,0.046089,4499.738281,"1x716 float","1x716 float",11
688,0.048193,2100.084717,"1x747 float","1x747 float",12
720,0.046213,3527.063477,"1x779 float","1x779 float",12
752,0.055556,5614.241211,"1x810 float","1x810 float",15
784,0.053318,6133.397949,"1x844 float","1x844 float",15
816,0.048000,2051.675293,"1x875 float","1x875 float",14
848,0.049614,2043.903198,"1x907 float","1x907 float",15
880,0.054371,5933.083008,"1x938 float","1x938 float",17
912,0.052523,4421.441406,"1x971 float","1x971 float",17
944,0.047904,2072.753906,"1x1002 float","1x1002 float",16
976,0.052224,4067.029297,"1x1034 float","1x1034 float",18
1008,0.045070,2109.386963,"1x1065 float","1x1065 float",16
1040,0.046931,3795.366699,"1x1108 float","1x1108 float",13
1072,0.045654,4388.966309,"1x1139 float","1x1139 float",13
1104,0.047822,6450.823242,"1x1171 float","1x1171 float",14
1136,0.044925,4646.725586,"1x1202 float","1x1202 float",18
1168,0.045344,3768.878174,"1x1235 float","1x1235 float",14
1200,0.047393,4916.638672,"1x1266 float","1x1266 float",20
1232,0.046225,4483.093750,"1x1298 float","1x1298 float",15
1264,0.048157,3650.716064,"1x1329 float","1x1329 float",16
1296,0.052825,5129.990234,"1x1363 float","1x1363 float",18
1328,0.054519,5144.571289,"1x1394 float","1x1394 float",19
1360,0.047686,3742.501709,"1x1426 float","1x1426 float",17
1392,0.054907,4432.711914,"1x1457 float","1x1457 float",20
1424,0.045638,3827.142334,"1x1490 float","1x1490 float",17
1456,0.049967,4080.169922,"1x1521 float","1x1521 float",19
1488,0.051513,4591.282227,"1x1553 float","1x1553 float",20
1520,0.053030,5306.421387,"1x1584 float","1x1584 float",21
1552,0.049413,4317.576172,"1x1619 float","1x1619 float",20
1584,0.050909,4469.846191,"1x1650 float","1x1650 float",21
1616,0.052319,4382.044922,"1x1682 float","1x1682 float",22
1648,0.053707,4443.293945,"1x1713 float","1x1713 float",23
1680,0.050401,4390.472656,"1x1746 float","1x1746 float",22
1712,0.051773,4302.481445,"1x1777 float","1x1777 float",23
1744,0.053068,4326.266602,"1x1809 float","1x1809 float",24
1776,0.047826,3951.575195,"1x1840 float","1x1840 float",22
1808,0.051227,4380.140137,"1x1874 float","1x1874 float",24
1840,0.046194,4029.543213,"1x1905 float","1x1905 float",22
1872,0.051626,4370.936035,"1x1937 float","1x1937 float",25
1904,0.053354,4759.862793,"1x1968 float","1x1968 float",21
1936,0.051974,4412.839844,"1x2001 float","1x2001 float",26
1968,0.045276,3730.624512,"1x2032 float","1x2032 float",23
2000,0.054264,4318.188477,"1x2064 float","1x2064 float",28
2032,0.049642,3945.705811,"1x2095 float","1x2095 float",26
2064,0.054231,6545.532227,"1x2139 float","1x2139 float",29
2096,0.051613,6320.462402,"1x2170 float","1x2170 float",28
2128,0.050863,4535.746094,"1x2202 float","1x2202 float",28
2160,0.048365,2126.117188,"1x2233 float","1x2233 float",27
2192,0.051192,6352.781250,"1x2266 float","1x2266 float",29
2224,0.050501,6365.275391,"1x2297 float","1x2297 float",29
2256,0.046372,4102.237793,"1x2329 float","1x2329 float",27
2288,0.052966,4948.463867,"1x2360 float","1x2360 float",25
2320,0.053467,4514.292969,"1x2394 float","1x2394 float",32
2352,0.054433,6421.772461,"1x2425 float","1x2425 float",33
2384,0.047212,4358.075195,"1x2457 float","1x2457 float",29
2416,0.048232,2128.285889,"1x2488 float","1x2488 float",30
2448,0.053947,6546.880371,"1x2521 float","1x2521 float",34
2480,0.045455,2130.267334,"1x2552 float","1x2552 float",29
2512,0.051084,6285.121094,"1x2584 float","1x2584 float",33
2544,0.050478,6331.882324,"1x2615 float","1x2615 float",33
2576,0.045283,4045.596191,"1x2650 float","1x2650 float",30
2608,0.049235,2125.908203,"1x2681 float","1x2681 float",33
2640,0.048655,2141.157227,"1x2713 float","1x2713 float",33
2672,0.045190,4153.961426,"1x2744 float","1x2744 float",31
2704,0.054015,5751.700195,"1x2777 float","1x2777 float",30
2736,0.045584,4477.474609,"1x2808 float","1x2808 float",32
2768,0.045070,2152.795654,"1x2840 float","1x2840 float",32
2800,0.048763,2139.670410,"1x2871 float","1x2871 float",35
2832,0.045439,4084.380859,"1x2905 float","1x2905 float",33
2864,0.046322,2148.421631,"1x2936 float","1x2936 float",34
2896,0.045822,4068.974365,"1x2968 float","1x2968 float",34
2928,0.045348,4087.470703,"1x2999 float","1x2999 float",34
2960,0.044855,4056.324707,"1x3032 float","1x3032 float",34
2992,0.053869,4047.448486,"1x3063 float","1x3063 float",33
3024,0.045234,2162.906006,"1x3095 float","1x3095 float",35
3056,0.055982,4090.289551,"1x3126 float","1x3126 float",35
3088,0.049020,4896.758789,"1x3162 float","1x3162 float",31
3120,0.047604,2145.392822,"1x3193 float","1x3193 float",38
3152,0.044651,4056.028809,"1x3225 float","1x3225 float",36
3184,0.045455,4081.533447,"1x3256 float","1x3256 float",37
3216,0.054728,4205.765137,"1x3289 float","1x3289 float",36
3248,0.052711,4193.708984,"1x3320 float","1x3320 float",35
3280,0.053699,4173.831543,"1x3352 float","1x3352 float",36
3312,0.051729,4181.568848,"1x3383 float","1x3383 float",35
3344,0.051215,4194.662109,"1x3417 float","1x3417 float",35
3376,0.049304,3927.265625,"1x3448 float","1x3448 float",34
3408,0.050287,4211.029297,"1x3480 float","1x3480 float",35
3440,0.054116,4096.047363,"1x3511 float","1x3511 float",38
3472,0.053612,4105.180664,"1x3544 float","1x3544 float",38
3504,0.046154,4699.539062,"1x3575 float","1x3575 float",33
3536,0.045467,4076.860107,"1x3607 float","1x3607 float",41
3568,0.048103,3919.972656,"1x3638 float","1x3638 float",35
3600,0.051729,4224.097168,"1x3673 float","1x3673 float",38
3632,0.047246,3941.861328,"1x3704 float","1x3704 float",35
3664,0.049518,3913.104980,"1x3736 float","1x3736 float",37
3696,0.050438,4197.693359,"1x3767 float","1x3767 float",38
3728,0.047368,3940.293457,"1x3800 float","1x3800 float",36
3760,0.053511,4066.136230,"1x3831 float","1x3831 float",41
3792,0.053068,4093.332031,"1x3863 float","1x3863 float",41
3824,0.052645,4104.984863,"1x3894 float","1x3894 float",41
3856,0.052189,4596.517578,"1x3928 float","1x3928 float",41
3888,0.054307,4172.648438,"1x3959 float","1x3959 float",43
3920,0.051366,4198.763184,"1x3991 float","1x3991 float",41
3952,0.048483,3916.848389,"1x4022 float","1x4022 float",39
3984,0.050555,4218.315918,"1x4055 float","1x4055 float",41
4016,0.053842,4057.173096,"1x4086 float","1x4086 float",44
4048,0.049781,3896.208008,"1x4118 float","1x4118 float",41
4080,0.046999,3922.705566,"1x4149 float","1x4149 float",39
4112,0.051264,4287.968750,"1x4194 float","1x4194 float",43
4144,0.047337,4021.111328,"1x4225 float","1x4225 float",40
4176,0.045807,3962.285645,"1x4257 float","1x4257 float",39
4208,0.046642,3938.177734,"1x4288 float","1x4288 float",40
4240,0.052071,4206.698242,"1x4321 float","1x4321 float",45
4272,0.050551,4679.705078,"1x4352 float","1x4352 float",44
4304,0.045620,3710.339355,"1x4384 float","1x4384 float",40
4336,0.045300,4002.480713,"1x4415 float","1x4415 float",40
4368,0.048325,3954.386719,"1x4449 float","1x4449 float",43
4400,0.046875,3967.027100,"1x4480 float","1x4480 float",42
4432,0.048759,4076.741455,"1x4512 float","1x4512 float",44
4464,0.053929,4186.694336,"1x4543 float","1x4543 float",49
4496,0.049170,3938.062988,"1x4576 float","1x4576 float",45
4528,0.046668,3968.308838,"1x4607 float","1x4607 float",43
4560,0.046346,4036.930420,"1x4639 float","1x4639 float",43
4592,0.046039,3946.001465,"1x4670 float","1x4670 float",43
4624,0.045696,3934.449463,"1x4705 float","1x4705 float",43
4656,0.053843,4227.487305,"1x4736 float","1x4736 float",51
4688,0.048238,4050.862061,"1x4768 float","1x4768 float",46
4720,0.053136,4297.996094,"1x4799 float","1x4799 float",51
4752,0.053808,4168.051758,"1x4832 float","1x4832 float",52
4784,0.047296,3954.569824,"1x4863 float","1x4863 float",46
4816,0.052094,4200.713867,"1x4895 float","1x4895 float",51
4848,0.045676,4063.924561,"1x4926 float","1x4926 float",45
4880,0.051411,4196.179199,"1x4960 float","1x4960 float",51
4912,0.052094,4173.016113,"1x4991 float","1x4991 float",52
4944,0.054748,4173.265137,"1x5023 float","1x5023 float",55
4976,0.053423,4178.316895,"1x5054 float","1x5054 float",54
5008,0.045213,3937.501465,"1x5087 float","1x5087 float",46
5040,0.052755,4189.320801,"1x5118 float","1x5118 float",54
5072,0.045631,4432.694824,"1x5150 float","1x5150 float",47
5104,0.054044,4290.223633,"1x5181 float","1x5181 float",56
5136,0.051754,4202.250488,"1x5217 float","1x5217 float",54
5168,0.051448,4201.304688,"1x5248 float","1x5248 float",54
5200,0.052083,4198.941406,"1x5280 float","1x5280 float",55
5232,0.053662,4239.433594,"1x5311 float","1x5311 float",57
5264,0.053331,4224.140625,"1x5344 float","1x5344 float",57
5296,0.049302,3425.690430,"1x5375 float","1x5375 float",53
5328,0.051785,4181.162109,"1x5407 float","1x5407 float",56
5360,0.047812,3432.359863,"1x5438 float","1x5438 float",52
5392,0.049342,3954.294922,"1x5472 float","1x5472 float",54
5424,0.047247,3441.834473,"1x5503 float","1x5503 float",52
5456,0.052394,4470.179688,"1x5535 float","1x5535 float",58
5488,0.053000,4319.271973,"1x5566 float","1x5566 float",59
5520,0.050009,4186.458984,"1x5599 float","1x5599 float",56
5552,0.049734,3889.107178,"1x5630 float","1x5630 float",56
5584,0.049452,3431.284668,"1x5662 float","1x5662 float",56
5616,0.054453,4226.901855,"1x5693 float","1x5693 float",62
5648,0.050628,4191.112305,"1x5728 float","1x5728 float",58
5680,0.049488,3424.690430,"1x5759 float","1x5759 float",57
5712,0.048351,3431.993164,"1x5791 float","1x5791 float",56
5744,0.052387,4186.733398,"1x5822 float","1x5822 float",61
5776,0.050384,4205.595703,"1x5855 float","1x5855 float",59
5808,0.046721,3452.646973,"1x5886 float","1x5886 float",55
5840,0.049848,4034.715576,"1x5918 float","1x5918 float",59
5872,0.046226,3991.112061,"1x5949 float","1x5949 float",55
5904,0.050978,4190.256836,"1x5983 float","1x5983 float",61
5936,0.053209,4195.304688,"1x6014 float","1x6014 float",64
5968,0.048793,3441.305176,"1x6046 float","1x6046 float",59
6000,0.051835,4198.989258,"1x6077 float","1x6077 float",63
6032,0.048282,3430.523926,"1x6110 float","1x6110 float",59
6064,0.049666,3438.017090,"1x6141 float","1x6141 float",61
6096,0.048599,3444.439453,"1x6173 float","1x6173 float",60
6128,0.047550,3444.449707,"1x6204 float","1x6204 float",59
6160,0.049672,3461.253662,"1x6241 float","1x6241 float",62
6192,0.046237,3463.851562,"1x6272 float","1x6272 float",58
6224,0.046637,4323.240723,"1x6304 float","1x6304 float",49
6256,0.054459,4196.212891,"1x6335 float","1x6335 float",69
6288,0.050251,4200.827148,"1x6368 float","1x6368 float",64
6320,0.049226,3440.433105,"1x6399 float","1x6399 float",63
6352,0.049759,3450.411621,"1x6431 float","1x6431 float",64
6384,0.050294,4206.895508,"1x6462 float","1x6462 float",65
6416,0.048491,3434.960938,"1x6496 float","1x6496 float",63
6448,0.047495,3443.061523,"1x6527 float","1x6527 float",62
6480,0.046501,3449.406006,"1x6559 float","1x6559 float",61
6512,0.045524,3449.313965,"1x6590 float","1x6590 float",60
6544,0.048316,3456.859131,"1x6623 float","1x6623 float",64
6576,0.047340,3468.226562,"1x6654 float","1x6654 float",63
6608,0.054592,3658.666504,"1x6686 float","1x6686 float",73
6640,0.051362,6083.069824,"1x6717 float","1x6717 float",69
6672,0.049615,3446.391602,"1x6752 float","1x6752 float",67
6704,0.050125,3736.788086,"1x6783 float","1x6783 float",68
6736,0.046955,3455.182129,"1x6815 float","1x6815 float",64
6768,0.045282,3456.262207,"1x6846 float","1x6846 float",62
6800,0.049426,3446.803711,"1x6879 float","1x6879 float",68
6832,0.054993,3636.684814,"1x6910 float","1x6910 float",76
6864,0.045376,3451.192383,"1x6942 float","1x6942 float",63
6896,0.052345,3646.187256,"1x6973 float","1x6973 float",73
6928,0.045669,3455.710449,"1x7007 float","1x7007 float",64
6960,0.053282,3656.746094,"1x7038 float","1x7038 float",75
6992,0.051627,3661.361328,"1x7070 float","1x7070 float",73
7024,0.050697,4221.662598,"1x7101 float","1x7101 float",72
7056,0.049061,3450.498535,"1x7134 float","1x7134 float",70
7088,0.046057,3457.537598,"1x7165 float","1x7165 float",66
7120,0.047242,3458.275391,"1x7197 float","1x7197 float",68
7152,0.053957,3658.446777,"1x7228 float","1x7228 float",78
7184,0.046806,3442.868164,"1x7264 float","1x7264 float",68
7216,0.053461,3643.742676,"1x7295 float","1x7295 float",78
7248,0.053228,3653.928223,"1x7327 float","1x7327 float",78
7280,0.051644,3650.702148,"1x7358 float","1x7358 float",76
7312,0.053443,3663.845703,"1x7391 float","1x7391 float",79
7344,0.045810,3484.500000,"1x7422 float","1x7422 float",68
7376,0.050979,3669.844727,"1x7454 float","1x7454 float",76
7408,0.050768,4240.655762,"1x7485 float","1x7485 float",76
7440,0.049874,3464.905518,"1x7519 float","1x7519 float",75
7472,0.045695,3451.158691,"1x7550 float","1x7550 float",69
7504,0.046162,3456.115234,"1x7582 float","1x7582 float",70
7536,0.045317,3459.301270,"1x7613 float","1x7613 float",69
7568,0.046430,3449.060059,"1x7646 float","1x7646 float",71
7600,0.052755,3643.991699,"1x7677 float","1x7677 float",81
7632,0.053185,3653.136230,"1x7709 float","1x7709 float",82
7664,0.051034,3649.782715,"1x7740 float","1x7740 float",79
7696,0.052090,3659.857422,"1x7775 float","1x7775 float",81
7728,0.049962,3587.666016,"1x7806 float","1x7806 float",78
7760,0.051671,3672.453613,"1x7838 float","1x7838 float",81
7792,0.053374,4320.966797,"1x7869 float","1x7869 float",70
7824,0.046191,3460.933594,"1x7902 float","1x7902 float",73
7856,0.049162,3546.420898,"1x7933 float","1x7933 float",78
7888,0.054614,3652.786133,"1x7965 float","1x7965 float",87
7920,0.052526,3650.946533,"1x7996 float","1x7996 float",84
7952,0.047945,3428.482910,"1x8030 float","1x8030 float",77
7984,0.054584,3633.964844,"1x8061 float","1x8061 float",88
8016,0.053750,3652.908203,"1x8093 float","1x8093 float",87
8048,0.052930,3657.866943,"1x8124 float","1x8124 float",86
8080,0.051490,3648.092285,"1x8157 float","1x8157 float",84
8112,0.045799,3487.709473,"1x8188 float","1x8188 float",75
8144,0.052311,3673.808105,"1x8220 float","1x8220 float",86
8176,0.053327,3909.800293,"1x8251 float","1x8251 float",88
8208,0.053995,4642.849609,"1x8297 float","1x8297 float",64
8240,0.052594,4134.791504,"1x8328 float","1x8328 float",73
8272,0.052392,4156.743164,"1x8360 float","1x8360 float",73
8304,0.052914,4110.638184,"1x8391 float","1x8391 float",74
8336,0.050570,4126.479980,"1x8424 float","1x8424 float",71
8368,0.049675,3953.121094,"1x8455 float","1x8455 float",70
8400,0.048780,3934.802002,"1x8487 float","1x8487 float",69
8432,0.050012,4155.784668,"1x8518 float","1x8518 float",71
8464,0.049813,3892.067627,"1x8552 float","1x8552 float",71
8496,0.049633,3881.381348,"1x8583 float","1x8583 float",71
8528,0.054324,4097.839844,"1x8615 float","1x8615 float",78
8560,0.054823,4028.654541,"1x8646 float","1x8646 float",79
8592,0.051849,4580.054688,"1x8679 float","1x8679 float",75
8624,0.053731,4162.655273,"1x8710 float","1x8710 float",78
8656,0.054221,4138.477539,"1x8742 float","1x8742 float",79
8688,0.051294,4163.140137,"1x8773 float","1x8773 float",75
8720,0.053815,4121.437012,"1x8808 float","1x8808 float",79
8752,0.048874,3939.503662,"1x8839 float","1x8839 float",72
8784,0.051403,4236.005859,"1x8871 float","1x8871 float",76
8816,0.049876,3879.549072,"1x8902 float","1x8902 float",74
8848,0.050364,4145.832031,"1x8935 float","1x8935 float",75
8880,0.047513,3911.587402,"1x8966 float","1x8966 float",71
8912,0.052678,4119.535645,"1x8998 float","1x8998 float",79
8944,0.047846,3901.885254,"1x9029 float","1x9029 float",72
8976,0.048328,3990.399170,"1x9063 float","1x9063 float",73
9008,0.054761,4670.411133,"1x9094 float","1x9094 float",83
9040,0.053912,4132.666992,"1x9126 float","1x9126 float",82
9072,0.047832,3916.422607,"1x9157 float","1x9157 float",73
9104,0.052231,4125.269531,"1x9190 float","1x9190 float",80
9136,0.046850,3929.715332,"1x9221 float","1x9221 float",72
9168,0.051227,4240.355957,"1x9253 float","1x9253 float",79
9200,0.049117,3895.102539,"1x9284 float","1x9284 float",76
9232,0.050215,4125.607422,"1x9320 float","1x9320 float",78
